,term,weight,occurrences,documents_in,sentences_in
103,absolutely clear,0.00022660060299635446,1,doc5.txt,What is absolutely clear is that it is not enough for the President to respond to Iraq’s reality by saying that he is “open to” or “interested in” new ideas while acting as if all that’s required is doing more of the same.
104,abuse,0.0002223789964620524,1,"doc6.txt, doc5.txt, doc4.txt","Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship. 
        
        But instead of effectively targeting this aid, we have seen some of the largest waste, fraud, and abuse of foreign aid in American history. 
        
        The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue. 
        
        The Kenyan people are the ultimate guardians against abuses."
105,abuse foreign,0.0002223789964620524,1,,
106,abuses,0.0007183119200811018,3,"doc6.txt, doc4.txt","Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship. 
        
        The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue. 
        
        The Kenyan people are the ultimate guardians against abuses."
107,abuses growing,0.00022412869185392393,1,,
108,abuses taken,0.00017746090824795506,1,,
109,accelerate,0.0006539833444984391,2,doc6.txt,"Right now, rogue states and despotic regimes are looking to begin or accelerate their own nuclear programs. 
        
        Everyone has a role to play, and everyone must accelerate this involvement."
110,accelerate involvement,0.00042481046287924467,1,,
111,accelerate nuclear,0.00026848526349053874,1,,
112,accept,0.0006577142139985479,3,"doc5.txt, doc1.txt, doc2.txt","That policy-by-slogan will no longer pass as an acceptable form of debate in this country. 
        
        And I believe that it remains possible to salvage an acceptable outcome to this long and misguided war. 
        
        I refuse to accept the possibility that I will have to come back a year from now and say the same thing. 
        
        And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America."
113,accept nomination,0.00019316353314962622,1,,
114,accept possibility,0.0003256479805575395,1,,
115,accept responsibility,0.00020950214102195608,1,doc1.txt,"Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice."
116,acceptable,0.0005516386088241605,2,doc5.txt,"That policy-by-slogan will no longer pass as an acceptable form of debate in this country. 
        
        And I believe that it remains possible to salvage an acceptable outcome to this long and misguided war."
117,acceptable form,0.0002989566371343608,1,doc5.txt,That policy-by-slogan will no longer pass as an acceptable form of debate in this country.
118,acceptable outcome,0.0002858421856730845,1,doc5.txt,And I believe that it remains possible to salvage an acceptable outcome to this long and misguided war.
119,accepted,0.0002238717340885138,1,doc1.txt,"And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America."
120,accepted job,0.0002238717340885138,1,,
121,access,0.0011085575280657578,5,"doc6.txt, doc4.txt, doc1.txt, doc3.txt, doc2.txt","One of the most important steps is for Russia to permit the access and transparency necessary to deal with the threat. 
        
        This lack of access for Africa's agriculture and commodities has restricted an important engine of economic growth. 
        
        Wealth declarations do little good if no one can access them, and accountability in government spending is not possible if no one knows how much was available and allocated to a given project in the first place. 
        
        They write the checks and you get stuck with the bills, they get the access while you get to write a letter, they think they own this government, but we're here today to take it back."
122,access accountability,0.00022491314584447629,1,,
123,access africa,0.0002581474900837513,1,,
124,access begin,0.0002870762707246772,1,,
125,access transparency,0.0002786148088121713,1,,
126,access write,0.00026104124532284683,1,,
127,accessible,0.0006178178770744397,2,"doc3.txt, doc2.txt","Let it be said that we are the party of affordable, accessible health care for all Americans. 
        
        Now is the time to finally keep the promise of affordable, accessible health care for every single American."
128,accessible health,0.0006178178770744397,2,"doc3.txt, doc2.txt","Let it be said that we are the party of affordable, accessible health care for all Americans. 
        
        Now is the time to finally keep the promise of affordable, accessible health care for every single American."
129,accompanied,0.00018432481043899115,1,doc2.txt,"Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton."
130,accompanied journey,0.00018432481043899115,1,,
131,accomplished,0.0006387363205360907,2,"doc5.txt, doc4.txt","“Mission Accomplished,” “cut and run,” “stay the course” ? 
        
        There is no doubt that what Kenyans have accomplished with this independence is both impressive and inspiring."
132,accomplished cut,0.00034175562283222233,1,,
133,accomplished independence,0.00033537654732182775,1,,
134,according,0.0006783797415360975,3,doc5.txt,"According to our own Pentagon, the situation on the ground is now pointing towards chaos. 
        
        It’s not clear that these troop levels are sustainable for a significant period of time, and according to our commanders on the ground, adding American forces will only relieve the Iraqis from doing more on their own. 
        
        According to a Pew survey, 42% of Americans now agree with the statement that the U.S. should ""mind its own business internationally and let other countries get along the best they can on their own.”
We cannot afford to be a country of isolationists right now."
135,according commanders,0.00021075812564889612,1,,
136,according pentagon,0.00033870299939206864,1,,
137,according pew,0.00020173630742541482,1,,
138,accountability,0.0007654466092331816,3,"doc4.txt, doc1.txt, doc2.txt","Wealth declarations do little good if no one can access them, and accountability in government spending is not possible if no one knows how much was available and allocated to a given project in the first place. 
        
        Let's recruit a new army of teachers, and give them better pay and more support in exchange for more accountability. 
        
        And in exchange, I'll ask for higher standards and more accountability."
139,accountability government,0.00022491314584447629,1,,
140,accountable,0.0010965605764103414,4,"doc4.txt, doc2.txt","Like many nations across this continent, where Kenya is failing is in its ability to create a government that is transparent and accountable. 
        
        An accountable, transparent government can break this cycle. 
        
        You will decide if your leaders will be held accountable, or if you will look the other way. 
        
        I've seen it in Washington, when we worked across party lines to open up government and hold lobbyists more accountable, to give better care for our veterans and keep nuclear weapons out of terrorist hands."
141,accountable better,0.0002119978530323631,1,,
142,accountable look,0.000353515719157406,1,,
143,accountable transparent,0.00040952409749955035,1,,
144,accurately,0.0001440339979990923,1,doc4.txt,"As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction."
145,accurately fairly,0.0001440339979990923,1,,
146,achieve,0.0011899033774944248,6,"doc6.txt, doc5.txt, doc1.txt, doc2.txt","And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program. 
        
        Rather, the question is what strategies, imperfect though they may be, are most likely to achieve the best outcome in Iraq, one that will ultimately put us on a more effective course to deal with international terrorism, nuclear proliferation, and other critical threats to our security. 
        
        It may be politically advantageous for the President to simply define victory as staying and defeat as leaving, but it prevents a serious conversation about the realistic objectives we can still achieve in Iraq. 
        
        There is no reason to believe that more of the same will achieve these objectives in Iraq."
147,achieve best,0.00019421392927186255,1,,
148,achieve breakthrough,0.00018988374214727862,1,,
149,achieve iraq,0.00020955194324675003,1,,
150,achieve mind,0.00018186681754581141,1,,
151,achieve objectives,0.0004138871615219507,1,,
152,achieve results,0.00025324772842773025,1,,
153,achievement,0.00020950214102195608,1,doc1.txt,"Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice."
154,achievement children,0.00020950214102195608,1,,
155,acknowledge,0.0001387597555140617,1,doc4.txt,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict."
156,acknowledge kenya,0.0001387597555140617,1,,
157,act,0.001386373358152149,5,"doc6.txt, doc5.txt, doc4.txt, doc1.txt, doc3.txt, doc2.txt","First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States. 
        
        The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities. 
        
        They are the soul-trying times our forbearers spoke of, when the ease of complacency and self-interest must give way to the more difficult task of rendering judgment on what is best for the nation and for posterity, and then acting on that judgment ? 
        
        The conflict has left us distracted from containing the world’s growing threats ?"
158,act fall,0.00025550146876955924,1,,
159,act self,0.00025550146876955924,1,,
160,act voting,0.0002520560530667511,1,,
161,acting,0.0005088969623977841,3,"doc5.txt, doc4.txt","They are the soul-trying times our forbearers spoke of, when the ease of complacency and self-interest must give way to the more difficult task of rendering judgment on what is best for the nation and for posterity, and then acting on that judgment ? 
        
        What is absolutely clear is that it is not enough for the President to respond to Iraq’s reality by saying that he is “open to” or “interested in” new ideas while acting as if all that’s required is doing more of the same. 
        
        As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists. 
        
        This means that the education and health care systems - issues that my own nation more than 200 years old still struggles with - lag behind, impacting its development."
162,acting judgment,0.0001879320448399912,1,,
163,acting rapid,0.00014898962167826272,1,,
164,acting required,0.00022660060299635446,1,,
165,action,0.0001304166936502225,1,"doc5.txt, doc4.txt","“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”
This is now the reality of Iraq. 
        
        To reach such a solution, we must communicate clearly and effectively to the factions in Iraq that the days of asking, urging, and waiting for them to take control of their own country are coming to an end. 
        
        to pressure the Iraqi leadership to finally come to a political agreement between the warring factions that can create some sense of stability in the country and bring this conflict under control. 
        
        For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?"
166,action urgent,0.0001304166936502225,1,,
167,actions,0.0001905384283572384,1,"doc5.txt, doc4.txt","To reach such a solution, we must communicate clearly and effectively to the factions in Iraq that the days of asking, urging, and waiting for them to take control of their own country are coming to an end. 
        
        to pressure the Iraqi leadership to finally come to a political agreement between the warring factions that can create some sense of stability in the country and bring this conflict under control. 
        
        For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ? 
        
        But only if U.S. commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ?"
168,active,0.00037134083510244223,2,"doc5.txt, doc1.txt","Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region. 
        
        I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate."
169,active participation,0.0001864453714174087,1,doc1.txt,"I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate."
170,active presence,0.00020721758065754913,1,doc5.txt,Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.
171,actors,0.00018267942365599192,1,"doc6.txt, doc4.txt","First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States. 
        
        The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities. 
        
        I believe there a number of factors at work. 
        
        Third, Kenya is hurt from factors unique to Africa's geography and place in the world -- disease, distance from viable markets and especially terms of trade."
172,actors international,0.00018267942365599192,1,,
173,actually,0.0004902046330362676,3,"doc3.txt, doc2.txt","At one point, Kozol tells about his trip to Fremont High School in Los Angeles, where he met a girl who tells him that she'd taken hairdressing twice, because there were actually two different levels offered by the high school. 
        
        How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement? 
        
        When John McCain said we could just ""muddle through"" in Afghanistan, I argued for more resources and more troops to finish the fight against the terrorists who actually attacked us on 9/11, and made clear that we must take out Osama bin Laden and his lieutenants if we have them in our sights."
174,actually attacked,0.00018363810082490812,1,doc2.txt,"When John McCain said we could just ""muddle through"" in Afghanistan, I argued for more resources and more troops to finish the fight against the terrorists who actually attacked us on 9/11, and made clear that we must take out Osama bin Laden and his lieutenants if we have them in our sights."
175,actually different,0.00017230525558764462,1,,
